review,sentiment
"The Treasure Island DVD should be required viewing in any film production course! It's a textbook example of how NOT to make a movie. Watching the movie and then listening to the writer/director's commentary demonstrates graphically the vast chasm between what he knows about the characters and what he communicates to his audience about them. Call me old-fashioned, but I think of movies as a means of communication, and communication isn't complete if the audience doesn't know what the hell the director is talking about. The director's avowed purpose is to make a movie void of ""Hollywood conventions"". Among those conventions, alas, is consistency of character and clarity of concept. The director himself realizes that audiences often don't understand points where he has purposely avoided a ""Hollywood cliché"". However, he never seems to grasp the idea that clichés exist for a reason. They are shorthand for conveying complex ideas quickly and clearly. It's fine to avoid them, but they need to be replaced with some other way of communicating the same idea, not simply eliminated. The film is built on an intriguing premise, rich with potential. Two puppets are assigned to fabricate a personality and background for an unidentified corpse that is to be used in a disinformation mission in the closing days of WWII. Soon each begins to populate their personal fantasies with the character and their invention becomes increasingly real to them. Someone with less disdain for the ""Hollywood convention"" of traditional storytelling could create a wonderful film with this idea. This film certainly isn't it! The puppets do everything they can to bring consistency to these characters, but they are all too often defeated by the dazed and confused script. In particular, I'm becoming increasingly impressed by Gonzo, who plays the lively corpse. In a number of muppet films, he always stands out as a very charismatic puppet.",negative
"I didn't know what to expect from the film. Well, now I know. This was a truly awful film. The screenplay, directing and acting were equally bad. The story was silly and stupid. The director could have made a smart and thought provoking film, but he didn't. I squirmed in my seat for the last half of the movie because it was so bad. Where was the focus to the film? Where was anything in this film? Christians should boycott this film instead of promoting it. It was shabbily done and a waste of my money. Do not see this film.",negative
"Same old same old about Che. It completely ignored the really interesting facts of Che's true character. Sodeberg redid the same boring narrative of Che. The silly seductive tale of an Argentinean rich-boy who was so shocked by poverty he became a Robin Hood fighting alongside the poor, until eventually he was murdered by the CIA. Yeah, yeah, heard it all before, BORING AND UNTRUE!. The reality of Che Guevara is very different and far more explosive! The facts show that he was a totalitarian with a messiah streak, who openly wanted to impose Maoist tyranny on the world. He was so fanatical that at the hottest moment in the Cold War, he even begged the Soviet Union to nuke New York, Washington or Los Angeles and bring about the end of the world. CHe urged Khrushchev to launch a nuclear strike against US cities. For the rest of his life, he declared that if his finger had been on the button, he would have pushed it. When Khrushchev backed down and literally saved the world, Che was furious at the ""betrayal"". If Che's recommendations had been followed, you would not be reading this review now. How a homicidal maniac became a pop icon would have made a much more interesting film. Incredible that no filmmaker has been daring enough to show the real side of Che and his posthumous media transformation. THAT WOULD MAKE AN Oscar WINNING FILM! I thought making independent film meant taking REAL RISKS and being GROUNDBRAKING! They only stick to ""safe counterculture themes"", to wit, ""Che cool"", ""Wall Street bad"", ""Republican= Nazi"", ""Bush ex Hitler"", ""NRA is worse than KGB"", ""Christians are fanatics and stupid"", etc...ad nauseum. Oooh, how daring, how mind blowing. Tres anti-mainstream and edgy. I wish they would have some real cojones and tackle the Independent Film Oligarchy! That would be truly daring!",negative
"What a crap that movie is. The script is simply non existent. The movie at times seems like a music video. But it cannot even be that since the soundtrack does not really match. Pathetic way of combining action and rap. One might think it being a recipe for a successful flick... here it fails miserably. Dialogues in this flick just killed me. The scene when Harlan is interrogated by some policeman is merely pitiful. Generally speaking, recent Seagals films are hardly watchable. What the hell happened to the guy? I know he's old but can't he get ""Hollywood"" to drop him a decent script or something? Is he running out of dough for his escapades to India that he takes on anything they serve him?",negative
"This film has been receiving a lot of play lately during the day on either HBO or Cinemax. The reason is that they are assuming people would be interested in comparing it to the Leonardo DiCaprio/Tom Hanks caper of the same name. The only reason to see it is for the attractive Matt Lattanzi. Yum! Although I must say Matt was more than a little long in the tooth to be playing a high schooler. If he were a woman, they'd have had him playing the MOTHER of a high schooler! (Is is just me, or is his daughter starting to look like Shelley Duvall?) Oh yeah, the plot--who cares? Typical teen highjinx played by adults.",negative
"**POSSIBLE SPOILERS**<br /><br />The biggest part of the movie that doesn't work IS the Wendigo, and when your title character fails, your movie usually isn't far behind it. The filmmakers' interpretation of the Wendigo's form is interesting, and can be properly menacing when filmed correctly - when the fleeing killer sees the Wendigo in a flash in his rear view mirror, for instance - and the tree-form was actually very good. However, as a monster character it never really comes to life. We don't get much of an explanation for its behavior, and what we DO see from it doesn't jibe with either the story told in the movie itself, or any Wendigo lore I've ever read.<br /><br />I think one of the main reasons that the monster fails is that it isn't given enough to do, in the movie. When you boil this film down to its bones, what you have is a suspense thriller with a little bit of a supernatural element, instead of a movie about a monster.<br /><br />The cinematography is good, though a little cheesy; the filmmakers use scenery, lighting, and time of day to convey atmosphere and mood rather well. The character of Otis comes across as truly dangerous and unpredictable, making him the real monster in the film. It might have been more effective to explain his behavior as him being possessed by the hungry spirit of the Wendigo, which would also be a more accurate representation of the real legend.<br /><br />I have heard unconfirmed reports (from a newsgroup) that the reason the Wendigo doesn't do much is that, when the monster suit was built, it wound up so heavy and and uncomfortable (in order to mimic the stance of it standing on cloven hooves, the performer had to walk on his toes) that it was nearly impossible to run, walk, or otherwise perform in it. Thus the many flashes of the creature standing still, and the obvious sped-up footage of it running. I stress that these reports are uncomfirmed.",positive
"I just love this show.It's so funny and cool.Kuzco is such a hilarious and interesting character, I love him.He's the thing that makes this show what it is, although Kronk and Yzma are so funny and charming too.Everything about this show is great for me, because it always manages to make me laugh, no matter if it's only once an episode.It's just so funny and all the characters are so lovable and cool, it makes the show worth the time to watch, unlike some crap on Disney channel.Give this show a try next time it's on, if you've seen the movie, and even if you haven't seen the movie, you'll find this to be very enjoyable anyway, so go ahead.",positive
"First of all, I would just like to say to everyone who has seen this movie, that the actor who played the ""Transvestite"" Is one of my friends, his name is Robert Dugdale, he's a terrific actor, although it doesn't say much about his filmography, he's been in several plays and musicals. He is currently residing in Terrace B.C. that is where I am from, he comes over to our house almost every saturday *laughs* Okay, now about the movie, I wouldn't recomend this to anyone who HASN'T seen it, for it is not a movie worth watching, the main reason I found it to be a bad movie is it never stays in place, it keeps bouncing back between time, so kinda hard to follow at some points, and second, its really boring *laughs* Although the acting is great, the movie just doesn't compare.",negative
"Trite, clichéd dialog and plotting (the same kind of stuff we saw all through the 1980s fantasy movies), hokey music, and a paint-by-numbers characters knocks this out of the running for all but the most hardcore fans.<br /><br />What saves this film from the junk heap is the beautiful crutch of Bakshi's work, the rotoscoping, and the fact that Frank Frazetta taught the animators how to draw like him. This is Frazetta...in motion. The violence is spectacular and the art direction and animation are unlike any other sword & sorcery movie of the period.<br /><br />I like to watch this with the sound off, playing the soundtrack to the first Conan movie instead.",negative
"I can't understand why so many peoples praised this show. Twin peaks is one of the most boring titles I have ever seen in my life.<br /><br />Now I have seen all season 1 episodes, and seeing season 2 episode 1. Simply I can't take this show anymore.<br /><br />1) Where is the proper induction in criminal investigation?<br /><br />In season 1, there was a scene that agent Cooper throws stones to a bottle. Can you guess why he did that? He just want to identify murderer by doing this 'joke' while mentioning supernatural ability given by Tibet dream. Wow!!!<br /><br />2) There are too many unnecessary scenes in this show.<br /><br />For example, season 2 started with a 'funny' scene that a dumb old man serves agent Cooper with a cup of milk while Cooper are laying down on the floor.( He got the gun shoots in his belly already. ) This old man is doing nothing but saying some dumb comments. That's all.<br /><br />This scene is really boring and even long ( 3 min 30 sec.... It's like Hell. )<br /><br />I would read some comic books rather than see this show anymore.",negative
"This movie deserves more than a 1. But I'm giving it a one because so many fricken fan boys have given it a 10 resulting in it getting a rating that'll take it into the top 100 list. Seriously it's not that great its not that bad. Its a stupid cult classic with so many fricken fan boys it's ridiculous. These are the types who probably still laugh at Chuck Norris jokes and still say ""I'm rick james b!tch"" No matter how old or annoying it gets. I dread having to hear ""I'm tired of MFn snakes on this MFn plane"" months from now from idiots trying to be funny. Its crappy plot crap acting etc. Its Okay to love a bad movie, but you still gotta admit its a bad movie.<br /><br />Wait for the Marine starring John Cena if you wanna see a real movie",negative
"Slow, odd film that drags and plods (I mean really PLODS) along to its disappointing climax. You may expect some sort of punchline at the end, but there is none. Both Milland and Snodgress give awkward performances; in fact, the film's weirdness may actually be the only thing it has going for it. The generally atmospheric score has some absurd parts (like the music that plays during the first appearance of a monkey), and there is a truly awful fantasy scene involving....a gorilla. (**)",negative
"If you're not in the mood for more than an hour long movie than this film could give you some variation. What I love is the ongoing surprises. It's not only once that you want one or more of the short film in 'New York I Love You' to be continue. Yeah, some of the short films makes you curious, some of them very short, some of them longer, some of them has it definite ends, some of them don't.<br /><br />Most of the story presents the sad side of the capital city. It shows many different nationality background. Many of it, make it feels the same way where I have been once went to a capital city in other countries for a year where it has many people came from different countries. This movie explore many type of things you might have known, but for all the characters it's a new things. Maybe some of you have traveled abroad alone to stay for a year or two just to feel something new, meet new people; feel dreamy, sad, but the kind of sad you looking for because it is just that bored you were in your own home. You might want to reliving it again, by watching this.",positive
"The idea was awesome, the actors were incredible, the story could of been very scary, but the writing was poor and there was no depth. I couldn't really get into this movie. I couldn't feel for the characters, there were a lot of cliffhangers, and the movie just ends very weirdly. Was it a happy ending? I don't know. Was it a sad ending? Again, I don't know. You leave the theater feeling unsatisfied. The movie had so much to give, but couldn't. Just because you can edit, doesn't mean you should, right? I wouldn't really recommend this movie because you just can't say that you left the movie feeling like it was completed. You'll just be confused. Trust me, you will probably thank me if you don't watch this movie.<br /><br />3/10",negative
"I am of ""the Christopher Reeve Generation"" it is fair to say that he was the best actor to play Superman yet, but that doesn't stop me from enjoying other actors in the role, and George Reeves makes a pretty good bid to knock Chris off the top, though he just barely falls short. That doesn't stop me from enjoying this film, it has a lot going for it. It has all that a movie needs, a plot with beginning, middle, and end, plus all those parts are intelligently written. The film is edgy both in acting and storyline, something a film-noir but with tights. The story is both exciting and meaningful, this is a movie with a message that isn't too preachy. I am still amazed this was shot over 12 days, oh the glory days of Hollywood, when we didn't have to wait 5 years just to see if the movie would fall into development hell... The film is polished and expertly made, directed by Lee ""Roll'em"" Sholem, best known for directing with both speed and efficiency. It never lets the constraints of technology slow it down, in fact there is some creative things done to create the effect of flight, including putting a camera on a boom on a truck and shooting high and traveling fast to make it look like we are seeing it from Superman's point of view, also a few closeups of George in process work, and a long shot of an animated Superman. <br /><br />This is now available on DVD as an extra feature on the first season of the George Reeves Television series. A DVD worth owning in its own right, the inclusion of the film as its original whole, is icing on the cake.<br /><br />Give Blood Today God Bless!",positive
"Meester Sharky, you look so ... normal. You would never get a table in this fancy cocktail restaurant/bistro. I, on the other 'and eat grapes and pate 'ere every day. You like my fur coat with all the fine trimming? My enormous golden rings of gold? Or maybe you like these blonde, 'ow you say?, bombshells, who are all qualified in aerobics and naked petanques, who decorate my long, maroon velvety sofa like so many soft boiled larks on a plate of pan fried foie gras and figs. You like? You can't have! Zey are all mine.<br /><br />You will never possess 'er as I possessed 'er. Domino was the best, apart from Maman. You do not understand the art of lovemaking. Just look at your inferior moustache. It is almost funny to me, non, to think of that ludicrous protuberance on your silly face, as you snuffle around Domino's love hillock like the piggy seeking the truffle in the forest, the forest heaving and swaying in the hot winds of desire! You lose again Sharky.<br /><br />When I make love to the women zey know, Sharky, zey know. Zey learn, zey learn until zey become the teacher. Not nano-maths, the arts of love. Domino was the seedling which I watered. I watered her so very often. Everywhere Sharky. Her scented petals, her proud stalk, everywhere. She will wither under your ridiculous hose, like the soufflé removed from the oven five minute too soon.<br /><br />I must go now Sharky, you bore me so with your disgraceful behaviour. It is you who will be flushed down le pissoir like the smelly thing.<br /><br />Bon chance!",positive
"I watched this movie every chance I got, back in the Seventies when it came out on cable. It was my introduction to Harlem, which has fascinated me (and Bill Clinton) ever since. I was still very young, and the movie made a big impression on me. It was great to see a movie about other young girls growing up, trying to decide whom they wanted to be, and making some bad choices as well as good ones. I was dazzled by Lonette McKee's beauty, the great dresses they eventually got to wear, and the snappy dialogue. As someone being raised by a single mother as well, I could really identify with these girls and their lives. It's funny, these characters seem almost more real to me than Beyonce Knowles!",positive
"Kolchak is sheer entertainment. Great stories and a great cast and nothing else to weigh it down. Darren McGavin gives an energetic performance that pulls the audience along with him. Simon Oakland, Jack Grinnage and Ruth McDevitt give McGavin the kind of solid support that most leading actors can only dream of having. Some excellent guest stars add colour and verve to individual episodes - Erik Estrada in Legacy of Terror, Phil Silvers in Horror in the Heights, Antonio Fargas in The Zombie. It's easy to see how a boyhood spent watching Kolchak drove Chris Carter to create The X Files. Darren - RIP. Simon - RIP. Ruth - RIP.",positive
"Nominated for best documentary feature at 2004's Academy Awards, My Architect follows filmmaker Nathaniel Kahn in his quest to find out about his father, the legendary architect Louis I Kahn. Lou Kahn died in 1974, when Nate was 11 years old, leaving behind an incredible but limited body of work, unpaid debts and three separate families all living within a few kilometres of each other. <br /><br />My Architect follows Kahn's life through chronologically examining his buildings, and interspersing their beauty with the story of a charismatic, but selfish and emotionally immature genius. As the son which Lou never publicly acknowledged during his lifetime, Nate has delicately placed himself in the story without overpowering the main focus. <br /><br />When examining the magnificent Salk Institute in California, Nate evokes his father's mythic use of space and light in his buildings, making it a peaceful and fascinating experience for viewers. The shot of Nate rollerblading in Salk's smoky white central meeting place emphasises the building's harmony with nature. It's breathtaking. My Architect also covers the difficulty Louis Kahn had with getting his designs accepted. Several fantastical buildings exist only on paper, dismissed by more practical architects and property developers. It wasn't until Louis Kahn went to the East that his visions were enthusiastically embraced. In India, where he built the Indian <br /><br />Institute of Management, a former co-worker describes him as a guru. In Bhangladesh, where he built the magnificent National Assembly Building, citizens consider him a father of democracy. <br /><br />Watching My Architect is a wonderful way to begin or continue learning about architecture and the importance of space. But it's the irony of Lou Kahn's egotism combined with the transcendence of his work that will inspire you. 4 stars.",positive
"OK, so the Oscars seem to get hyped just a little more each year. And I was rooting for ""Gosford Park"" to win (come on, Robert Altman had deserved an Oscar for years!). That said, I guess that it was high time for an African-American to win Best Actress. Contrary to the previous reviewer, Halle Berry's role in ""Monster's Ball"" was far more original than Nicole Kidman's in ""Moulin Rouge""; I never would have thought to nominate the latter for anything, especially in a year that saw ""Mulholland Dr."".<br /><br />Among the things that I had predicted was the stuff about the September 11 attacks; I knew that they were going to say something about freedom. Yeah, yeah. Robert Redford should know better. But contrary again to the previous reviewer, Whoopi Goldberg is not the worst host (among the past hosts was Bob Hope, for whom I have no respect); I really liked her jab at John Ashcroft.<br /><br />So, although I wouldn't have given ""A Beautiful Mind"" Best Picture, ""The 74th Annual Academy Awards"" still pleased me (I have to admit, I enjoy the Oscars more than my own birthday). And the day after, as my parents and I were hiking around the dwellings in Bandalier, New Mexico - it was spring break - I was thinking to myself that when Jim Broadbent won his Oscar, that most people watching were asking ""Jim who?!"" I wonder whether or not Woody Allen will ever attend the Oscars again.",positive
"I don't think anyone sitting down to view this film would be expecting anything remotely appearing like a classic ghost story but you have to ask yourself when it's over if you were ever scared. This doesn't really work on that level but the cast does try hard and the film doesn't tack on one of those happy endings. Story is about an American couple who travel to Kyoto, Japan so that Ted Fletcher (Edward Albert) can write a book and he brings along his wife Laura (Susan George) and their daughter Amy (Amy Barrett). Their friend Alex Curtis (Doug McClure) who works at the American Consulate helps them find a house to live in and he finds one that is haunted. About 140 years earlier in the same house a Samurai found his wife cheating on him and he kills both of them and then commits suicide. Their ghosts still inhabit the house and when the Fletcher's arrive it doesn't take long before strange things start happening.<br /><br />*****SPOILER ALERT*****<br /><br />At times the ghosts inhabit the bodies of the Fletcher's and they start to act like the Japanese people that they were before and Laura starts to flirt with Alex which leads to an affair. Meanwhile, Ted starts behaving more strict and after he pours soup down the throat of Amy he goes to ask a Monk for help. Unfortunately the ghosts get Ted, Laura, and Alex to play out their death scene like it happened 140 years earlier.<br /><br />This film was directed by Kevin Connor who is known as a good television director but he has made horror and science fiction films before and has worked with McClure on some of them. While this never comes close to being scary or developing atmosphere it does have two things in it that I liked. First, it doesn't have one of those sappy endings where the couple embrace after defeating the demons. Instead, it ends in a very bloody fight where everyone succumbs to the evil of the ghosts. Secondly, it has Susan George in the cast! I've always been a fan of hers even though she has appeared in mostly schlock but her performances are always top notch. Also she usually appears nude which she does here in two separate scenes and while she doesn't have classic features she does have a unique tomboy like look about her and it's one of the reasons why she was so popular. But after appearing in silly films such as this I think it led to her getting out of the business or working only sporadically. This isn't a bad film but it's never convincing and watching the ghosts scurry around when the Monk gives an exorcism is practically worthy of a giggle or two. The bottom line is that this is silly and I hope George decides to resume her career.",negative
"George Lopez is a funny man even without the sitcom. The first episodes I saw of this too often made jokes at the expense of his mom. As I have watched this more, there has been more & more variety. No one on the cast is really safe from his wit now.<br /><br />It seems to me as this season has progressed that George is getting more comfortable with the family sitcom Dad role. At first he wasn't, but he is getting More & more into a groove. This makes both him & the shows progressively funnier. They had added a couple of characters for George to play off this year too. His wife's dad is getting more & more involved in the plot.<br /><br />His mom is still there, but not as central as past seasons. I think it is prudent to say with George's sense of comic timing, & ABC's lack of good sitcoms, George Lopez has a good chance of being here on ABC long after George W. Bush.",positive
"There's a good running bit about the price tag of a silk negligee. The bimbo in the office shows off the bargain she got for $22 (closeup of tag). Later, Mary Astor finds the tag in the boss's bedroom (proof that bimbo slept with him). Still later, Mary Astor is about to have an affair with Ricardo Cortez, looks at the price tag of HER silk negligee ($14) and is reminded of how disgusted she was about the bimbo, as well as the fact that she's spent $8 less than the ""most obvious"" woman she's ever met. It sounds an obvious morality turn, but it was well done. The film would be stronger if Robert Ames' character had been played by a more powerful actor (he's too low-key for a self-made salesman and he spends most of the film with his face turned away from the camera), and if Ricardo Cortez had been given more to do than smile ironically. Both male leads are bland and forgettable, and are hindered by the pancake male makeup so popular in this film's era. However, the Mary Astor character is interesting, appealing and believable. Behind Closed Doors is well worth seeing.",positive
"When you think of brilliant Australian comedy you don't think of Skit shows (Although I'm quite partial to a bit of 80's and 90's Full Frontal) or even Sitcoms - you think of SATIRE! Something that we Australians really know how to do well. (Eg: Front Line, The Micallef Program) We know how to take the pi$$, and The Chaser's War on Everything, is a classic example of how to do it, and how to do it really well. <br /><br />I've been a huge fan of Chris Taylor and Craig Reucassel for a long time. I remember listening to them on Triple J's afternoon show. They were, and remain, two of the funniest comedians around.<br /><br />Although I was sad when they left Triple J, I was excited to find out what they were investing so much time in that made them have to leave. (They were doing CNNNN and Triple J at the same time, so I figured this was something much bigger) And what an amazingly HILARIOUS show Chaser is. Biting political and social satire at it's best.<br /><br />I'm also pleased to say that it has recently received a MUCH better time slot than Friday nights and has been moved to Wednesday nights right after Spicks and Specks. THANK YOU ABC!! Finally I don't have to tape it! :)",positive
"This is a must-see documentary movie for anyone who fears that modern youth has lost its taste for real-life adventure and its sense of morality. Darius Goes West is an amazing roller-coaster of a story. We live the lives of Darius and the crew as they embark on the journey of a lifetime. Darius has Duchenne Muscular Dystrophy, a disease which affects all the muscles in his body. He is confined to a wheelchair, and needs round-the-clock attention. So how could this crew of young friends possibly manage to take him on a 6,000 mile round-trip to the West Coast and back? Watch the movie and experience the ups and downs of this great adventure - laugh and cry with the crew as they cope with unimaginable challenges along the way, and enjoy the final triumph when they arrive back three weeks later in their home town to a rapturous reception and some great surprises!",positive
